,Visibility (km),Rel Hum (%),Hour,Stn Press (kPa),Month,Temp (°C),Dew Point Temp (°C),Wind Dir (10s deg),Wind Spd (km/h),Temp_Diff,Humidity_Index
3772,0.04979253112033195,0.5185185185185186,4,0.4221014492753632,6,0.6440422322775263,0.674061433447099,0.8888888888888888,0.3076923076923077,-0.030019201169572685,0.3339478241439026
3773,0.04979253112033195,0.4567901234567901,5,0.42391304347826164,6,0.6591251885369531,0.6672354948805461,0.8888888888888888,0.3076923076923077,-0.008110306343592999,0.3010818762452749
3774,0.06639004149377593,0.4197530864197531,6,0.4257246376811601,6,0.6711915535444947,0.6689419795221844,0.8888888888888888,0.3653846153846154,0.0022495740223102967,0.2817347261791706
3775,0.06639004149377593,0.38271604938271603,7,0.4221014492753632,6,0.6862745098039215,0.6706484641638226,0.9444444444444444,0.5576923076923077,0.01562604564009884,0.26264826918421685
3776,0.13278008298755187,0.3703703703703704,8,0.4257246376811601,6,0.6983408748114629,0.6791808873720138,0.9444444444444444,0.6153846153846154,0.019159987439449133,0.25864476844869
3777,0.26556016597510373,0.4567901234567901,9,0.42391304347826164,6,0.6877828054298641,0.6962457337883959,0.8888888888888888,0.34615384615384615,-0.008462928358531796,0.31417239260376506
3778,0.1991701244813278,0.4074074074074074,10,0.42028985507246475,6,0.7088989441930618,0.7030716723549488,0.8888888888888888,0.40384615384615385,0.005827271838112935,0.28881068096754364
3779,0.26556016597510373,0.4197530864197531,11,0.41666666666666785,6,0.7179487179487178,0.7184300341296929,0.9444444444444444,0.25,-0.00048131618097502216,0.3013611902500791
3780,0.26556016597510373,0.39506172839506165,12,0.4184782608695663,6,0.7194570135746605,0.7081911262798636,0.05555555555555555,0.6153846153846154,0.011265887294796939,0.28422993128875473
3781,0.26556016597510373,0.4197530864197531,13,0.42391304347826164,6,0.7104072398190044,0.7098976109215018,0.8888888888888888,0.44230769230769235,0.000509628897502612,0.29819563152896483
3782,0.26556016597510373,0.4074074074074074,14,0.42753623188405854,6,0.7179487179487178,0.7150170648464165,1.0,0.2884615384615385,0.002931653102301368,0.2924976258309591
3783,0.40248962655601656,0.4074074074074074,15,0.43115942028985543,6,0.7179487179487178,0.71160409556314,0.9722222222222222,0.44230769230769235,0.006344622385577869,0.2924976258309591
3784,0.40248962655601656,0.4074074074074074,16,0.4329710144927539,6,0.7239819004524886,0.7201365187713311,0.9722222222222222,0.44230769230769235,0.003845381681157445,0.29495558907323605
3785,0.40248962655601656,0.43209876543209874,17,0.4365942028985508,6,0.7194570135746605,0.7218430034129694,1.0,0.3076923076923077,-0.002385989838308844,0.3108764873470755
3786,0.6680497925311204,0.5802469135802468,18,0.445652173913043,6,0.6983408748114629,0.7525597269624574,0.9722222222222222,0.42307692307692313,-0.054218852150994534,0.40521013723628085
3787,0.6680497925311204,0.691358024691358,19,0.4492753623188399,6,0.6847662141779788,0.7662116040955632,0.9722222222222222,0.25,-0.08144538991758443,0.47341861720946676
3788,0.6680497925311204,0.7530864197530864,20,0.45289855072464036,6,0.6757164404223227,0.7730375426621161,0.8333333333333333,0.17307692307692307,-0.0973211022397934,0.5088728748859468
3789,1.0,0.6790123456790123,21,0.4583333333333357,6,0.6862745098039215,0.764505119453925,0.9166666666666666,0.2692307692307693,-0.0782306096500035,0.465988864681675
3790,1.0,0.7037037037037037,22,0.4583333333333357,6,0.6772247360482654,0.7610921501706485,0.05555555555555555,0.19230769230769232,-0.08386741412238308,0.4765655549969275
3791,1.0,0.728395061728395,23,0.45652173913043725,6,0.6711915535444947,0.7627986348122867,1.0,0.2692307692307693,-0.09160708126779205,0.4888926130756195
3792,1.0,0.7160493827160495,0,0.45289855072464036,6,0.6711915535444947,0.7610921501706485,0.9166666666666666,0.19230769230769232,-0.0899005966261538,0.48060629759976164
3793,1.0,0.7407407407407407,1,0.4492753623188399,6,0.6681749622926092,0.7627986348122867,0.9444444444444444,0.2692307692307693,-0.09462367251967752,0.49494441651304383
3794,1.0,0.7777777777777779,2,0.4492753623188399,6,0.6576168929110104,0.7610921501706485,1.0,0.23076923076923078,-0.10347525725963802,0.5114798055974527
3795,1.0,0.7777777777777779,3,0.45289855072464036,6,0.6606334841628958,0.764505119453925,1.0,0.21153846153846156,-0.10387163529102916,0.5138260432378079
3796,1.0,0.7901234567901234,4,0.4583333333333357,6,0.6591251885369531,0.764505119453925,0.05555555555555555,0.17307692307692307,-0.10537993091697184,0.5207902724242592
3797,1.0,0.7901234567901234,5,0.46376811594203105,6,0.6606334841628958,0.7662116040955632,0.027777777777777776,0.15384615384615385,-0.10557811993266741,0.5219820121780905
3798,1.0,0.7160493827160495,6,0.4728260869565233,6,0.6787330316742081,0.7679180887372015,0.08333333333333333,0.2692307692307693,-0.0891850570629934,0.48600636835930955
3799,1.0,0.691358024691358,7,0.4764492753623202,6,0.6877828054298641,0.7696245733788396,0.027777777777777776,0.2692307692307693,-0.08184176794897546,0.4755041617786715
3800,1.0,0.654320987654321,8,0.4818840579710155,6,0.6907993966817495,0.7627986348122867,0.9722222222222222,0.2692307692307693,-0.07199923813053721,0.45200454350781144
3801,1.0,0.6049382716049383,9,0.4855072463768124,6,0.702865761689291,0.7627986348122867,0.027777777777777776,0.17307692307692307,-0.05993287312299567,0.42519039904660816
3802,1.0,0.5802469135802468,10,0.4818840579710155,6,0.702865761689291,0.7576791808873721,0.16666666666666666,0.25,-0.054813419198081026,0.4078356888814404
3803,1.0,0.4938271604938271,11,0.48369565217391397,6,0.7345399698340873,0.7593856655290103,0.9722222222222222,0.17307692307692307,-0.02484569569492301,0.3627357875723887
3804,1.0,0.5185185185185186,12,0.48369565217391397,6,0.7149321266968325,0.7474402730375427,0.05555555555555555,0.11538461538461539,-0.0325081463407102,0.3707055471761354
3805,1.0,0.5061728395061729,13,0.4764492753623202,6,0.7285067873303166,0.7576791808873721,0.9166666666666666,0.09615384615384616,-0.029172393557055476,0.36875034914250593
